CountryNum,StateNum,Year,AOU,SpeciesTotal
124,4,1972,540,30
124,4,1973,540,69
124,4,1974,540,29
124,4,1975,540,37
124,4,1976,540,60
124,4,1978,540,2
124,4,1979,540,135
124,4,1980,540,192
124,4,1981,540,237
124,4,1990,540,1
124,4,1991,540,3
124,4,1992,540,13
124,4,1993,540,5
124,4,1994,540,43
124,4,2000,540,10
124,4,2005,540,7
124,4,2006,540,7
124,4,2007,540,20
124,4,2015,540,21
124,4,2016,540,19
124,4,1970,540,3
124,4,1971,540,2
124,4,1973,540,1
124,4,1974,540,5
124,4,1975,540,6
124,4,1976,540,2
124,4,1979,540,1
124,4,1983,540,14
124,4,1985,540,1
124,4,1986,540,3
124,4,1988,540,2
124,4,1989,540,36
124,4,1990,540,42
124,4,1991,540,78
124,4,1993,540,28
124,4,1995,540,153
124,4,1996,540,486
124,4,1997,540,248
124,4,1998,540,124
124,4,1999,540,94
124,4,2000,540,307
124,4,2001,540,240
124,4,2002,540,659
124,4,2003,540,723
124,4,2004,540,202
124,4,2005,540,180
124,4,2006,540,321
124,4,2007,540,239
124,4,2008,540,284
124,4,2009,540,87
124,4,2010,540,67
124,4,2011,540,25
124,4,2012,540,152
124,4,2013,540,11
124,4,2014,540,7
124,4,2015,540,14
124,4,2016,540,10
124,4,2017,540,84
124,4,2018,540,19
124,4,1970,540,5
124,4,1971,540,5
124,4,1974,540,3
124,4,1975,540,3
124,4,1976,540,2
124,4,1978,540,2
124,4,1979,540,17
124,4,1980,540,2
124,4,1982,540,6
124,4,1987,540,15
124,4,1990,540,24
124,4,1991,540,5
124,4,1993,540,13
124,4,1995,540,5
124,4,1997,540,10
124,4,1999,540,4
124,4,2002,540,4
124,4,2003,540,5
124,4,2004,540,1
124,4,2005,540,13
124,4,2007,540,2
124,4,2008,540,17
124,4,2009,540,7
124,4,2010,540,5
124,4,2012,540,3
124,4,2013,540,1
124,4,2014,540,3
124,4,1972,540,4
124,4,1973,540,42
124,4,1974,540,3
124,4,1976,540,13
124,4,1979,540,11
124,4,1980,540,18
124,4,1992,540,103
124,4,1995,540,326
124,4,1996,540,56
124,4,1997,540,2
124,4,1999,540,13
124,4,2003,540,1
124,4,2005,540,20
124,4,2007,540,2
124,4,2018,540,5
124,4,1968,540,3
124,4,1969,540,10
124,4,1970,540,11
124,4,1971,540,16
124,4,1972,540,2
