lat,lon,orbitYear,gasID,concentration,norm_concentration
77,-74,2010,O3,9.820e-06,5
61,-105,2006,CCl3F,2.360e-10,5
59,-129,2007,CCl3F,2.250e-10,5
75,-117,2005,CCl3F,2.520e-10,5
53,-123,2009,CCl3F,2.330e-10,5
47,-60,2005,O3,8.920e-06,5
41,-84,2018,O3,9.550e-06,5
41,-139,2012,CCl3F,2.320e-10,5
55,-54,2015,O3,9.710e-06,5
58,-136,2004,CCl3F,2.250e-10,5
51,-89,2011,O3,9.220e-06,5
65,-61,2013,CCl3F,2.060e-10,5
40,-87,2016,O3,9.680e-06,5
52,-109,2008,CCl3F,2.360e-10,5
59,-116,2014,O3,9.290e-06,5
65,-53,2005,CCl3F,2.420e-10,5
64,-138,2008,CCl3F,2.080e-10,5
47,-139,2009,CCl3F,2.650e-10,5
65,-128,2006,CCl3F,2.310e-10,5
66,-81,2016,CCl3F,2.050e-10,5
47,-78,2005,O3,9.200e-06,5
43,-135,2009,O3,6.220e-06,5
66,-60,2015,CCl3F,2.330e-10,5
50,-91,2013,CCl3F,2.470e-10,5
61,-53,2010,CCl3F,2.110e-10,5
46,-70,2015,O3,9.240e-06,5
40,-74,2006,CCl3F,2.330e-10,5
40,-109,2019,O3,9.390e-06,5
41,-99,2010,O3,9.290e-06,5
78,-118,2004,CCl3F,2.630e-10,5
80,-85,2008,CCl3F,2.390e-10,5
78,-56,2010,CCl3F,2.210e-10,5
58,-68,2013,O3,9.950e-06,5
66,-99,2009,O3,9.960e-06,5
63,-109,2009,CCl3F,2.350e-10,5
45,-97,2006,CCl3F,2.400e-10,5
40,-54,2008,CCl3F,2.250e-10,5
66,-136,2013,CCl3F,2.190e-10,5
40,-102,2017,O3,9.340e-06,5
40,-72,2007,O3,9.210e-06,5
48,-55,2017,CCl3F,2.280e-10,5
46,-83,2007,O3,8.840e-06,5
60,-116,2006,CCl3F,2.220e-10,5
58,-103,2011,CCl3F,1.130e-08,5
55,-105,2008,O3,8.370e-06,5
51,-111,2014,O3,9.290e-06,5
58,-97,2015,CCl3F,2.170e-10,5
56,-52,2006,CCl3F,2.340e-10,5
66,-94,2018,CCl3F,2.280e-10,5
74,-66,2008,CCl3F,2.170e-10,5
44,-113,2018,CO2,9.440e-04,5
45,-97,2016,O3,9.140e-06,5
75,-86,2008,CCl3F,2.410e-10,5
64,-110,2013,CCl3F,1.960e-10,5
80,-122,2007,O3,9.830e-06,5
58,-133,2012,CCl3F,2.300e-10,5
40,-120,2013,CCl3F,2.320e-10,5
65,-60,2010,CCl3F,2.340e-10,5
41,-109,2006,O3,9.360e-06,5
77,-98,2005,CCl3F,2.470e-10,5
64,-77,2007,CCl3F,2.520e-10,5
43,-58,2010,O3,9.660e-06,5
66,-80,2017,CCl3F,2.250e-10,5
45,-136,2012,O3,9.230e-06,5
40,-139,2016,O3,9.230e-06,5
62,-107,2005,CCl3F,2.350e-10,5
63,-102,2009,CCl3F,2.350e-10,5
66,-74,2017,CCl3F,2.280e-10,5
64,-136,2014,CCl3F,2.230e-10,5
46,-106,2004,CCl3F,2.370e-10,5
58,-69,2008,CCl3F,2.530e-10,5
66,-90,2010,CCl3F,2.330e-10,5
60,-115,2017,CCl3F,2.310e-10,5
49,-91,2006,CCl3F,2.380e-10,5
64,-90,2009,CCl3F,2.570e-10,5
83,-85,2010,CCl3F,2.250e-10,5
41,-53,2005,O3,9.920e-06,5
73,-68,2004,CCl3F,2.370e-10,5
40,-117,2018,O3,9.630e-06,5
63,-120,2013,CCl3F,2.150e-10,5
47,-54,2005,O3,9.420e-06,5
68,-107,2009,CCl3F,2.300e-10,4.989880892582314
66,-67,2009,CCl3F,2.220e-10,4.720201366509839
62,-138,2009,CCl3F,2.210e-10,4.68649142575078
77,-106,2014,CO2,4.540e-04,4.612595652562101
61,-68,2015,CO2,8.090e-04,4.556745723259487
48,-112,2012,CCl3F,2.010e-10,4.550659660501401
52,-63,2017,CCl3F,1.970e-10,4.4572352035109
66,-62,2014,CO2,4.380e-04,4.394259907809079
73,-80,2014,CO2,4.330e-04,4.32602998757376
61,-96,2014,CO2,4.270e-04,4.2441540832913764
63,-112,2006,CCl3F,1.820e-10,4.241293750946604
41,-85,2019,CCl2F2,5.250e-10,4.231047260173296
75,-93,2014,CO2,4.260e-04,4.230508099244312
41,-54,2005,CCl3F,1.960e-10,4.217738549893287
49,-89,2014,CO2,4.240e-04,4.203216131150184
68,-61,2014,CO2,4.220e-04,4.175924163056057
77,-131,2014,CO2,4.220e-04,4.175924163056057
46,-130,2008,CO2,6.810e-04,4.143247658863958
67,-118,2019,CCl2F2,5.140e-10,4.1194747976683885
62,-134,2019,CCl2F2,5.110e-10,4.089045944257959
70,-90,2014,CO2,4.150e-04,4.080402274726609
68,-103,2014,CO2,4.140e-04,4.066756290679545
65,-97,2019,CCl2F2,5.080e-10,4.058617090847531
68,-127,2014,CO2,4.130e-04,4.053110306632481
77,-69,2014,CO2,4.130e-04,4.053110306632481
76,-65,2014,CO2,4.120e-04,4.039464322585417
74,-139,2014,CO2,4.120e-04,4.039464322585417
77,-82,2014,CO2,4.120e-04,4.039464322585417
62,-103,2019,CCl2F2,5.050e-10,4.028188237437102
66,-99,2014,CO2,4.110e-04,4.025818338538354
82,-119,2014,CO2,4.110e-04,4.025818338538354
58,-73,2019,CCl2F2,5.040e-10,4.018045286300292
64,-115,2012,CO2,6.370e-04,4.014250604849993
79,-76,2014,CO2,4.100e-04,4.012172354491289
62,-102,2014,CO2,4.100e-04,4.012172354491289
62,-108,2019,CCl2F2,5.030e-10,4.007902335163482
70,-65,2014,CO2,4.090e-04,3.998526370444226
63,-69,2014,CO2,4.090e-04,3.998526370444226
73,-100,2014,CO2,4.080e-04,3.984880386397162
58,-122,2014,CO2,4.080e-04,3.984880386397162
61,-72,2014,CO2,4.080e-04,3.984880386397162
44,-91,2014,CO2,4.070e-04,3.971234402350098
